COL TID VAL 0COL TID_l VAL 15054 COL title_l VAL Sweet Lady Genevieve COL artist_l VAL The Kinks	COL TID_r VAL 15054 COL title_r VAL Sweet Lady Genevieve COL artist_r VAL The Kinks 	 1
COL TID VAL 1COL TID_l VAL 2969 COL title_l VAL En lille stribe solskin (100 Go'e) COL artist_l VAL Tommy Seebach	COL TID_r VAL 2969 COL title_r VAL En lille stribe solskin (100 Go'e) COL artist_r VAL Tommy Seebach 	 1
COL TID VAL 2COL TID_l VAL 17374 COL title_l VAL Time Difference II - Alone, Not Alone COL artist_l VAL Montag	COL TID_r VAL 8968 COL title_r VAL Time Difference II (Alone, Not Alone) COL artist_r VAL Montag 	 1
COL TID VAL 3COL TID_l VAL 14305 COL title_l VAL 006-Last Rider (Interview) COL artist_l VAL Seth Lakeman	COL TID_r VAL 6221 COL title_r VAL Last Rider (Interview) - Word of Mouth COL artist_r VAL Seth Lakeman 	 1
COL TID VAL 4COL TID_l VAL 5220 COL title_l VAL Concerto No. 3 in G major, BWV 1048: II. Adagio COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 9512 COL title_r VAL Johannes-Passion, BWV 245: "Und die Kriegsknechten flochten eine Krone" COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 5COL TID_l VAL 5220 COL title_l VAL Concerto No. 3 in G major, BWV 1048: II. Adagio COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 10977 COL title_r VAL Goldberg Variationen, BWV 988, Aria mit 30 Veranderungen 32 COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 6COL TID_l VAL 17801 COL title_l VAL Sesame Saki - The Rebirth of Fool, Volume 2 COL artist_l VAL Toydeath	COL TID_r VAL 17801 COL title_r VAL Sesame Saki - The Rebirth of Fool, Volume 2 COL artist_r VAL Toydeath 	 1
COL TID VAL 7COL TID_l VAL 13322 COL title_l VAL Sarah Appears (Alternate) - The World, the Flesoh and the Devil COL artist_l VAL Miklós Rózsa	COL TID_r VAL 9765 COL title_r VAL Sarah Appears (Alternate) COL artist_r VAL Miklós Rózsa 	 1
COL TID VAL 8COL TID_l VAL 12478 COL title_l VAL ZolloZkunstStoFF COL artist_l VAL ZolloZ	COL TID_r VAL 5192 COL title_r VAL ProgRo_5 (InsectS) (ZolloZkunstStoFF) COL artist_r VAL ZolloZ 	 1
COL TID VAL 9COL TID_l VAL 4541 COL title_l VAL Where Do I Go From Here (The Bird and the Bee Sides / The Nashville Tennis EP) COL artist_l VAL Relient K	COL TID_r VAL 4541 COL title_r VAL Where Do I Go From Here (The Bird and the Bee Sides / The Nashville Tennis EP) COL artist_r VAL Relient K 	 1
COL TID VAL 10COL TID_l VAL 6384 COL title_l VAL AllIDreamedRealite COL artist_l VAL Realite	COL TID_r VAL 6384 COL title_r VAL AllIDreamedRealite COL artist_r VAL Realite 	 1
COL TID VAL 11COL TID_l VAL 19264 COL title_l VAL Wild Horses (Leave the Light On) COL artist_l VAL Beth Hart	COL TID_r VAL 19264 COL title_r VAL Wild Horses (Leave the Light On) COL artist_r VAL Beth Hart 	 1
COL TID VAL 12COL TID_l VAL 10979 COL title_l VAL Thermal Nose (Forbidden Colours-mix) (A Reflexion of Synthpop, Volume 1) COL artist_l VAL Statemachine	COL TID_r VAL 9568 COL title_r VAL Thermal Nose (Forbidden Colours-mix) COL artist_r VAL Statemachine 	 1
COL TID VAL 13COL TID_l VAL 15945 COL title_l VAL Belsazar: Act III. Recitativo "Suche nun eilig" (Cyrus) - The Masterworks COL artist_l VAL Georg Friedrich Händel	COL TID_r VAL 12719 COL title_r VAL Belsazar: Act III. Recitativo "Suche nun eilig" (Cyrus) COL artist_r VAL Georg Friedrich Händel 	 1
COL TID VAL 14COL TID_l VAL 15945 COL title_l VAL Belsazar: Act III. Recitativo "Suche nun eilig" (Cyrus) - The Masterworks COL artist_l VAL Georg Friedrich Händel	COL TID_r VAL 18092 COL title_r VAL Opus 6 No. 12 in B minor (HWV 330) - I. Largo COL artist_r VAL Georg Friedrich Händel 	 0
COL TID VAL 15COL TID_l VAL 15945 COL title_l VAL Belsazar: Act III. Recitativo "Suche nun eilig" (Cyrus) - The Masterworks COL artist_l VAL Georg Friedrich Händel	COL TID_r VAL 8694 COL title_r VAL Sonata in F ,HWV 369, Allegro COL artist_r VAL Georg Friedrich Händel 	 0
COL TID VAL 16COL TID_l VAL 13845 COL title_l VAL 12 Études Op. 10: No. 4 in C-sharp minor - Milestones: 30 Years of Chandos COL artist_l VAL Frédéric Chopin	COL TID_r VAL 2382 COL title_r VAL Sonate pour piano n°3 en Si mineur, Op. 58: I allegro maestoso COL artist_r VAL Frédéric Chopin 	 0
COL TID VAL 17COL TID_l VAL 12562 COL title_l VAL 004-  COL artist_l VAL  	COL TID_r VAL 7471 COL title_r VAL 004-  COL artist_r VAL   	 0
COL TID VAL 18COL TID_l VAL 12562 COL title_l VAL 004-  COL artist_l VAL  	COL TID_r VAL 5372 COL title_r VAL 005-     COL artist_r VAL   	 0
COL TID VAL 19COL TID_l VAL 12562 COL title_l VAL 004-  COL artist_l VAL  	COL TID_r VAL 9817 COL title_r VAL 009-   COL artist_r VAL   	 0
COL TID VAL 20COL TID_l VAL 8143 COL title_l VAL Reservoir of Soul COL artist_l VAL Dime Store Prophets	COL TID_r VAL 8143 COL title_r VAL Reservoir of Soul COL artist_r VAL Dime Store Prophets 	 1
