TID,CID,CTID,title,artist
1,1,1,Daniel Balavoine - L'enfant aux yeux d'Italie,
2,2512,5,007,[unknown]
3,2,1,Action PAINTING! - Mustard Gas,
4,3,1,Your Grace,Kathy Troccoli
5,4,1,Well You Needn't,Ernie Stadler Jazz Quintet
6,5,1,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",Neil Young
7,2136,3,Bruce Maginnis - Sttreet Hype,
8,6,1,Luce Dufault - Ballade à donner,
9,7,1,Just Like Tom Thumb's Blues (live),Wendy Saddington
10,6842,4,Στα καμένα,Λαυρέντης Μαχαιρίίτσας
11,5568,2,,Anathema
12,8,1,El Vaquero Chido (The Cool Cowboy),Byron Brizuela & Enrique Carbajal
13,9,1,002-Particle/Wave,Lunchbox
14,10,1,001-Deja Vu,Blanket
15,4209,3,019-Feeling Good,Andy Bey and the Bey Sisters
16,5371,2,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",Max Bruch
17,11,1,Marlene Dietrich - Wo ist der Mann?,
18,12,1,00-1,
19,13,1,Gimme Dat (remix),Rye Rye
20,14,1,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),Gerard Alessandrini
21,3118,2,Cállate - Los vaqueros: el regreso: Deluxe Edition,Wisin & Yandel
22,2151,3,Outro (Working Title),FeSo
23,15,1,10cm,Anemone
24,2142,3,Al Hirt - Tansy,
25,5893,2,Fish Tail Blues - The King & Mister Jelly Lord,Jelly Roll Morton
26,16,1,Clouseau - Anne,
27,5498,4,Tony Rice - Urge for Going,
28,17,1,"Placebo Persuasion (More Specific, Less Pacific)",Caesura
29,3385,4,En dless Love,Diana Ross & Lionel Richie
30,8950,3,011- ,   
31,18,1,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",
32,7301,3,Tuning,The Doros
33,1396,2,016-Action (interlude),Hell
34,19,1,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),Peggy Brown
35,4960,2,Thunder Underground,Ozzy Osbourne
36,20,1,Wayanay - Andes Cosmos,
37,21,1,Special Feature Including A Hybrid Documentary,Hybrid
38,22,1,I could easily fall in love with you (Cuore matto),LittleTony
39,519,3,Mu sõber tuul - Uus Laine,Laine
40,23,1,Still in love with you (With This Ring… Forever I Do),Chris Willis
41,24,1,007-A Tout A L'Heure,Bibio
42,1085,2,CharlyGarcíaNobombardeenBuenosAires,
43,83,3,Lowland Trio - Van mij kan je de pot op,
44,25,1,Fried Bananas - Live at the Amsterdam Paradiso,Dexter Gordon
45,3059,4,Power of Dreams - Sky,
46,26,1,Amikaeyla and Trelawny Rose - Wonderful World,
47,5969,5,Style Talks (g) (link) (Swing of the City),Keith Mansfield
48,6133,3,闇に笑ふ,服部隆之
49,27,1,Praia nua (Ensaio - Signo de ar),Jorge Vercilo
50,7345,2,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),United Citizen Federation
51,28,1,hWeels of FIRE,Saints & Sinners
52,2783,2,Bring Back the Love (Spaced Out dub),Laura Harris
53,29,1,011-Dey Want Some,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B"
54,2175,4,Bury Me (demo) - Finch,Finch
55,30,1,Charlie Walker,Charlie Walker
56,2357,3,012-Lullabye,
57,4407,3,Jivin' (in a Jump Swing Band),Kamikaze Mustang Pilot
58,31,1,It's a Heartache,Bonnie Tyler
59,6178,2,Sinkhole - Wreck on the Highway,
60,32,1,Comme ça tu veux un gun ? Tu trouves ça l'fun !,KC L.M.N.O.P.
61,1949,3,Implantation,TOMOSUKE
62,6563,2,Takin' My Time (Kiss My Amps Live),Tom Petty and the Heartbreakers
63,7765,2,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,Jerry Rivera
64,33,1,Sea Breeze (full mix),Burgo & David Haig
65,34,1,Introduction et Variations sur une Ronde Populaire - Encore!,Gabriel Pierné
66,35,1,011-Der Weg Zum Licht,Nihilistic Front
67,7586,3,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",Skatebård
68,6393,3,Le Marchand de Poisson - Planet Jazz,Sidney Bechet
69,36,1,Selffish - Sound Judgement,
70,3371,3,Pitch Black (Rotten to the Core),X-Fusion
71,9071,3,Sam Cooke - You Send Me,
72,37,1,Domenico Modugno - La distania es como el viento,
73,9318,3,,Stephan Sechi
74,8711,2,"Mind 2 Motion - Bluffers Guide, Volume 6",Roots Manuva
75,38,1,Lark Daddy - Flip Flop,
76,39,1,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),Ottorino Respighi
77,3713,2,Ten Million Teardrops,Jason McCoy
78,9109,2,Who Dat Girl (Promise Land club mix),Flo Rida feat. Akon
79,40,1,020-Annemarie,Feest Team
80,41,1,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,Ella Fitzgerald
81,42,1,Uriah Heep - Southern Star,
82,5576,4,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",Hill Bowen & His Orchestra
83,43,1,Guns N’ Roses - Estranged,
84,9369,4,001-Berimbou,Astrud Gilberto
85,5503,3,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),
86,44,1,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",Lovett Sisters
87,8013,2,Got to Hurry (take 4) - The Yardbirds Story,Yardbirds
88,45,1,005-Al verte las flores lloran,Camaron de la Isla
89,5552,2,006-My Pretty Pecker,Dr. Dre Del
90,4384,2,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),Jimmy Buffett
91,46,1,006-Murder & Mayhem,Noelle Hampton
92,65,2,Apache (instrumental) (On Stage / In Studio),On Stage / In Studio
93,1168,2,005-Put Me Back Together,Drive Like You Stole It
94,47,1,Mindsweeping - Cinematograph,Scrooge
95,48,1,011-Easter Processions: Hymne,[religious music]
96,49,1,Red Chips,
97,5803,4,Carbona -  1001 Doses (Até Você Voltar),
98,50,1,Mi apuesta - Es,Eruca Sativa
99,5404,3,Dimitri From Paris - Nothing to Lose,
100,905,5,The Power of Love (Rob Searle club mix),Frankie Goes to Hollywood
101,51,1,Tropical Dudes - Busybodies,
102,52,1,005-Piranhes,Rattler
103,8680,2,Uroš Rakovec Trio - Tako lepo bo,
104,7769,2,War (Art of War),AG & Party Arty
105,444,2,Little for a Lot - Four Winds the Walker,Spires That in the Sunset Rise
106,5733,2,The Solid Rock - World's Greatest Praise & Worship,Edward Mote & William B. Bradbury
107,53,1,003-Jayne,Stereophonics
108,8684,4,La Fessée,Georges Brassens
109,54,1,Why Not - The Lizzi eMcGuire Movie,Hilary Duff
110,55,1,001-Nation of Sorrow,Battle Zone
111,56,1,Ronin on Air,Younnat
112,3341,2,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),FallOutBoy
113,57,1,022-Over There Story,Kruger Brothers
114,4987,3,007-When Love Comes to Town,U2 & B.B. King
115,404,2,Пётр Ильич Чайковский - Pas d'action,
116,2978,4,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",Macrosick
117,58,1,Molly Half Head - Vivid Whitsun,
118,59,1,Nefes (live in Bodrum),Telvin
119,60,1,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,マリア starring 田中理恵
120,61,1,001-Stronger Woman,Jewel
121,223,4,006-Turning,Glass America
122,1096,2,Sacred Spirit - Yane-Heja-Hee,
123,62,1,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),松任谷由実
124,9645,3,Butta-Few-Co - This Is My First Album,Kwest Tha Madd Lad
125,63,1,aMnassas - Johnny's Garden,
126,64,1,Symphony X - Of Sins and Shadows,
127,65,1,Apache (instrumental),Agents & Vesa Haaja
128,7847,3,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),Louis Armstrong
129,458,2,Semblance (Portrait in Sound),Klaus Suonsaari
130,6997,2,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,
131,66,1,011-Non ti dimentichero,Gianni Morandi
132,2744,2,Evolution Fight (Creating Your New Environment),CYNE
133,67,1,***,Wind Hearse
134,5839,3,006-The Jailer,Erin McKeown
135,5594,2,A csend (A hold szerelme),Tátrai Band
136,1349,3,STP,Sublime
137,68,1,001-Sunlight,The One AM Radio
138,9270,2,005-Where the Wild Things Are,Chenard Walcker
139,1215,2,Gitme Durnam - Gurbeti Ben mi Yarattım,Arif Sağ
140,69,1,Disorsder - Unknown Pleasures,Joy Division
141,70,1,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,
142,71,1,Broken,Amber Claire
143,9662,5,"006-La Pellegrina, Intermedio No. 1 ""L'Armonia delle sfere"": VI. Coppia gentil",Cristofano Malvezzi
144,72,1,Coffin Nails - Daytime TV,
145,4877,2,Central Booking - Febuary,Bishop Allen
146,73,1,Liquor Store Blues (Doo-Wops & Hooligans),Bruno Mars feat. Damian Marley
147,2258,3,012-Nyt jatan vanhan Turun,Tapio Heinonen
148,333,2,Confession (Always Around),Jack Radics
149,74,1,Ser Un Peyjalero - Peyjalero,
150,935,3,岩崎文紀 - 深海の精,
151,5575,2,The Pair Extraonrdinaire - I'm a Believer,
152,5060,3,013-Foe Life,Mak 10
153,75,1,André HazesR - Ik ben een gokker,
154,406,3,Herb Alpert - Silent Tears And Roses,
